HIVE:	GENE_SYMBOL	10090:Mus_musculus:mmusculus
Pgls	0.35:1:0.273:0.164	-0.19:1:0.235:0.309			-0.19:1:0.235:0.309	-0.33:1:0.286:0.273		-0.28:1:0.291:0.416	0.52:1:0.154:0.154	0.68:1:0.75:0.214	
Mon2	-0.3:1:0.093:0.208					0.22:1:0.214:0.091			-0.19:1:0.154:0.154		
Cadps	0.29:1:0.789:0.748		-0.15:0.34:0.972:0.992	0.41:1:0.2:0			0.41:1:0.2:0	0.52:1:0.404:0.312		-0.19:1:1:1	
Ski	-0.41:1:0.087:0.195			-0.18:1:0.2:0.211		-0.82:1:0.286:0.545	-0.18:1:0.2:0.211		-0.54:1:0.077:0.385	-0.15:1:0.5:0.286	
Eif5	0.27:1:0.559:0.438		0.2:1:0.524:0.556	0.42:1:0.2:0.158		-0.33:1:0.571:0.727	0.42:1:0.2:0.158		0.47:1:0.385:0.385	0.86:1:1:0.643	
Eps15l1	-0.38:1:0.149:0.279	0.35:1:0.123:0.049			0.35:1:0.123:0.049				-0.68:1:0.077:0.231		
Srp14	0.45:1:0.516:0.425	0.34:1:0.457:0.37		1.19:1:0.533:0.316	0.34:1:0.457:0.37	0.24:1:0.5:0.364	1.19:1:0.533:0.316	-0.17:1:0.587:0.733		0.4:1:0.75:0.643	
Gprasp1	0.48:1:0.621:0.482								-0.85:1:0:0.231		
Nme7	0.52:1:0.186:0.093									0.15:1:0.375:0.214	
Actr10	-0.42:1:0.211:0.332			-0.26:1:0.2:0.158		-1.11:1:0.214:0.364	-0.26:1:0.2:0.158		0.16:1:0.154:0.154	-0.49:1:0.5:0.714	
Fgf14	0.53:1:0.652:0.544							-0.21:1:0.085:0.114		-0.81:1:1:1	
Scrt2	-0.25:1:0.031:0.111									-0.22:1:0.125:0.286	
Neurod1	-0.15:1:0.099:0.217	0.26:1:0.802:0.765		0.42:1:0.133:0	0.26:1:0.802:0.765		0.42:1:0.133:0		0.79:1:0.154:0		
